{'id': 'AVD-2021-25745', '漏洞名称': 'Linux ingress-nginx 安全漏洞（CVE-2021-25745）', '漏洞类型': '未定义', '披露时间': '2022-04-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-14331', '漏洞名称': 'Linux kernel缓冲区错误漏洞', '漏洞类型': 'CWE-787', '披露时间': '2020-09-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-11684', '漏洞名称': 'linux4sam at91bootstrap 不充分的加密强度', '漏洞类型': 'CWE-212', '披露时间': '2020-09-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-11683', '漏洞名称': 'linux4sam at91bootstrap 通过差异性导致的信息暴露', '漏洞类型': 'CWE-203', '披露时间': '2020-09-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-25285', '漏洞名称': 'Linux kernel竞争条件问题漏洞', '漏洞类型': 'CWE-362', '披露时间': '2020-09-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-25284', '漏洞名称': 'Linux kernel关键资源的权限分配不正确漏洞', '漏洞类型': 'CWE-732', '披露时间': '2020-09-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10773', '漏洞名称': 'Linux kernel信息泄露漏洞', '漏洞类型': 'CWE-436', '披露时间': '2020-09-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-25221', '漏洞名称': 'Linux kernel权限提升漏洞', '漏洞类型': 'CWE-672', '披露时间': '2020-09-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-25220', '漏洞名称': 'Linux kernel内存错误引用漏洞', '漏洞类型': 'CWE-416', '披露时间': '2020-09-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-15163', '漏洞名称': 'linuxfoundation the_update_framework 授权机制不正确', '漏洞类型': 'CWE-345', '披露时间': '2020-09-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-25212', '漏洞名称': 'Linux kernel信息泄露漏洞', '漏洞类型': 'CWE-367', '披露时间': '2020-09-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-25211', '漏洞名称': 'Linux kernel netfilter缓冲区溢出漏洞', '漏洞类型': 'CWE-120', '披露时间': '2020-09-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10720', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2020-09-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-24612', '漏洞名称': 'fedoraproject selinux-policy 认证机制不恰当', '漏洞类型': 'CWE-287', '披露时间': '2020-08-25', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-14356', '漏洞名称': 'Linux kernel空指针解除引用漏洞', '漏洞类型': 'CWE-476', '披露时间': '2020-08-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-24394', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-732', '披露时间': '2020-08-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-7704', '漏洞名称': 'linux-cmdline输入验证错误漏洞', '漏洞类型': 'CWE-20', '披露时间': '2020-08-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-0255', '漏洞名称': 'Android SELinux 安全漏洞\n\t\t\t\t', '漏洞类型': '未定义', '披露时间': '2020-08-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8025', '漏洞名称': 'openSUSE和SUSE Linux Enterprise Server permissions 安全漏洞', '漏洞类型': 'CWE-279', '披露时间': '2020-08-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-16166', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2020-07-31', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-15852', '漏洞名称': 'linux linux_kernel 缺省权限不正确', '漏洞类型': 'CWE-276', '披露时间': '2020-07-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-15780', '漏洞名称': 'Linux kernel权限不当漏洞', '漏洞类型': 'CWE-862', '披露时间': '2020-07-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20908', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-269', '披露时间': '2020-07-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-13788', '漏洞名称': 'linuxfoundation harbor 服务端请求伪造（ssrf）', '漏洞类型': 'CWE-918', '披露时间': '2020-07-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-1423', '漏洞名称': '适用于 Linux 的 Windows 子系统特权提升漏洞', '漏洞类型': 'CWE-269', '披露时间': '2020-07-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-901112', '漏洞名称': 'Linux Kernel存在权限提升漏洞（CNVD-2020-32598）', '漏洞类型': '未定义', '披露时间': '2020-07-09', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-901111', '漏洞名称': 'Linux Kernel存在权限提升漏洞（CNVD-2020-32597）', '漏洞类型': '未定义', '披露时间': '2020-07-09', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-15393', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-401', '披露时间': '2020-06-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10769', '漏洞名称': 'Linux kernel拒绝服务漏洞', '漏洞类型': 'CWE-125', '披露时间': '2020-06-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-5967', '漏洞名称': 'NVIDIA Linux GPU Display Driver 竞争条件问题漏洞', '漏洞类型': 'CWE-362', '披露时间': '2020-06-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-14416', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-362', '披露时间': '2020-06-19', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10732', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2020-06-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10708', '漏洞名称': 'Linux kernel 竞争条件问题漏洞\n\t\t\t\t', '漏洞类型': '未定义', '披露时间': '2020-06-11', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10757', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-119', '披露时间': '2020-06-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-901645', '漏洞名称': '广东堡塔安全技术有限公司宝塔linux面板存在XSS漏洞（CNVD-2020-30398）', '漏洞类型': '未定义', '披露时间': '2020-06-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-13974', '漏洞名称': 'Linux kernel输入验证错误漏洞', '漏洞类型': 'CWE-190', '披露时间': '2020-06-09', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-13696', '漏洞名称': 'LinuxTV xawtv 安全漏洞', '漏洞类型': 'CWE-732', '披露时间': '2020-06-09', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20811', '漏洞名称': '在5.0.6之前的Linux内核中发现了一个问题', '漏洞类型': '未定义', '披露时间': '2020-06-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20812', '漏洞名称': '在5.4.7之前的Linux内核中发现了一个问题', '漏洞类型': 'CWE-400', '披露时间': '2020-06-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20810', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-401', '披露时间': '2020-06-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20806', '漏洞名称': '在5.2之前的Linux内核中发现了一个问题。', '漏洞类型': 'CWE-476', '披露时间': '2020-05-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10751', '漏洞名称': 'Linux kernels SELinux LSM hook 数据伪造问题漏洞', '漏洞类型': 'CWE-345', '披露时间': '2020-05-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10711', '漏洞名称': 'Linux Kernel up to 5.6 SELinux Subsystem ebitmap_netlbl_import 拒绝服务漏洞', '漏洞类型': 'CWE-476', '披露时间': '2020-05-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-3343', '漏洞名称': 'Cisco AMP for Endpoints Linux Connector及AMP for Endpoints Mac Connector Software无效的输入验证', '漏洞类型': 'CWE-120', '披露时间': '2020-05-22', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12888', '漏洞名称': 'Linux kernel异常处理不当漏洞', '漏洞类型': 'CWE-755', '披露时间': '2020-05-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-902138', '漏洞名称': 'Motrix Linux版本存在命令执行漏洞（CNVD-2020-27937）', '漏洞类型': '未定义', '披露时间': '2020-05-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12826', '漏洞名称': 'Linux kernel输入验证错误漏洞', '漏洞类型': 'CWE-190', '披露时间': '2020-05-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-1075', '漏洞名称': '适用于 Linux 的 Windows 子系统信息泄漏漏洞', '漏洞类型': 'CWE-200', '披露时间': '2020-05-12', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12771', '漏洞名称': 'Linux kernel拒绝服务漏洞', '漏洞类型': 'CWE-20', '披露时间': '2020-05-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12770', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2020-05-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20794', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-400', '披露时间': '2020-05-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12653', '漏洞名称': '在5.5.4之前的Linux内核中发现一个问题', '漏洞类型': 'CWE-269', '披露时间': '2020-05-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12654', '漏洞名称': '在5.5.4之前的Linux内核中发现了一个问题', '漏洞类型': 'CWE-787', '披露时间': '2020-05-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8018', '漏洞名称': 'SUSE Linux Enterprise Server 安全漏洞', '漏洞类型': 'CWE-276', '披露时间': '2020-05-05', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-12465', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-120', '披露时间': '2020-04-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-11884', '漏洞名称': 'Linux kernel 竞争条件问题漏洞', '漏洞类型': 'CWE-362', '披露时间': '2020-04-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-15794', '漏洞名称': 'Linux内核中的Overlayfs和shiftfs不会在错误时恢复原始值，从而导致refcount下溢', '漏洞类型': 'CWE-672', '披露时间': '2020-04-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-15792', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-843', '披露时间': '2020-04-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10699', '漏洞名称': 'Linux targetcli-fb权限提升漏洞', '漏洞类型': 'CWE-269', '披露时间': '2020-04-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-11725', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': '未定义', '披露时间': '2020-04-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8832', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2020-04-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-11668', '漏洞名称': 'Linux kernel 代码问题漏洞', '漏洞类型': 'CWE-476', '披露时间': '2020-04-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-21034', '漏洞名称': 'linuxfoundation argo_continuous_delivery 信息暴露', '漏洞类型': 'CWE-200', '披露时间': '2020-04-10', '漏洞状态': 'CVE'}
{'id': 'AVD-2021-902919', '漏洞名称': '东莞市百塔网络科技有限公司宝塔Linux面板存在逻辑缺陷漏洞（CNVD-2020-18686）', '漏洞类型': '未定义', '披露时间': '2020-04-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-11565', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-787', '披露时间': '2020-04-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-18905', '漏洞名称': 'SUSE Linux Enterprise Server 12、SUSE Linux Enterprise Server 15 autoyast2数据真实性验证不足', '漏洞类型': 'CWE-345', '披露时间': '2020-04-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8835', '漏洞名称': 'Linux kernel缓冲区溢出漏洞', '漏洞类型': 'CWE-119', '披露时间': '2020-04-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8017', '漏洞名称': 'SUSE Linux Enterprise Module的texlive-filesystem随附的cron作业中的“竞争条件启用链接跟随”漏洞', '漏洞类型': 'CWE-362', '披露时间': '2020-04-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8016', '漏洞名称': 'SUSE Linux Enterprise Module的texlive-filesystem打包中的“竞争条件启用链接跟随”漏洞', '漏洞类型': 'CWE-362', '披露时间': '2020-04-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20326', '漏洞名称': 'GNOME gThumb和Linux Mint Pix 缓冲区错误漏洞', '漏洞类型': 'CWE-787', '披露时间': '2020-03-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-10587', '漏洞名称': 'antiX和MX Linux输入验证错误漏洞', '漏洞类型': 'CWE-20', '披露时间': '2020-03-15', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-1887', '漏洞名称': 'linuxfoundation osquery 证书验证不恰当', '漏洞类型': 'CWE-295', '披露时间': '2020-03-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-18902', '漏洞名称': 'SUSE Linux Enterprise Server、openSUSE Leap和openSUSE Factory wicked 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2020-03-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-18897', '漏洞名称': 'SUSE Linux Enterprise Server和openSUSE Factory salt-master 后置链接漏洞', '漏洞类型': 'CWE-59', '披露时间': '2020-03-03', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-3698', '漏洞名称': 'SUSE Linux Enterprise Server和openSUSE Factory拒绝服务漏洞', '漏洞类型': 'CWE-59', '披露时间': '2020-02-29', '漏洞状态': 'CVE'}
{'id': 'AVD-2011-4915', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2020-02-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2011-0699', '漏洞名称': 'linux linux_kernel 使用共享资源的并发执行不恰当同步问题（竞争条件）', '漏洞类型': 'CWE-362', '披露时间': '2020-02-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2011-2498', '漏洞名称': 'linux linux_kernel 对已超过有效生命周期的资源丧失索引', '漏洞类型': 'CWE-772', '披露时间': '2020-02-20', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-7209', '漏洞名称': 'LinuxKI代码执行漏洞', '漏洞类型': '未定义', '披露时间': '2020-02-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-7208', '漏洞名称': 'LinuxKI 跨站脚本漏洞', '漏洞类型': 'CWE-79', '披露时间': '2020-02-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2012-0810', '漏洞名称': 'linux linux_kernel 未加控制的资源消耗（资源穷尽）', '漏洞类型': 'CWE-400', '披露时间': '2020-02-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-16155', '漏洞名称': 'FortiClient for Linux 6.2.1及更低版本中的特权升级漏洞', '漏洞类型': '未定义', '披露时间': '2020-02-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2012-1567', '漏洞名称': 'Linux Mint多个不安全临时文件创建漏洞', '漏洞类型': '未定义', '披露时间': '2020-02-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2012-1566', '漏洞名称': 'Linux Mint多个临时文件创建漏洞', '漏洞类型': '未定义', '披露时间': '2020-02-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-17652', '漏洞名称': 'FortiClient for Linux 6.2.1及更低版本中的堆栈缓冲区溢出漏洞', '漏洞类型': 'CWE-787', '披露时间': '2020-02-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-16152', '漏洞名称': 'FortiClient for Linux 6.2.1及更低版本中的拒绝服务（DoS）漏洞', '漏洞类型': 'CWE-20', '披露时间': '2020-02-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-15711', '漏洞名称': 'FortiClient for Linux 6.2.1及更低版本中的特权升级漏洞', '漏洞类型': '未定义', '披露时间': '2020-02-07', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8648', '漏洞名称': 'Linux kernel n_tty_receive_buf_common函数释放后重利用安全漏洞', '漏洞类型': 'CWE-416', '披露时间': '2020-02-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8649', '漏洞名称': 'Linux kernel vgacon_invert_region函数释放后重利用安全漏洞（CVE-2020-8649）', '漏洞类型': 'CWE-416', '披露时间': '2020-02-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-8647', '漏洞名称': 'Linux kernel vc_do_resize函数释放后重利用安全漏洞', '漏洞类型': 'CWE-416', '披露时间': '2020-02-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-12476', '漏洞名称': 'SUSE Linux Enterprise Module for Open Buildservice Development Tools 15路径遍历漏洞', '漏洞类型': 'CWE-22', '披露时间': '2020-01-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20422', '漏洞名称': 'linux linux_kernel 对异常条件的处理不恰当', '漏洞类型': 'CWE-755', '披露时间': '2020-01-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-18900', '漏洞名称': 'SUSE CaaS Platform 3.0，SUSE Linux Enterprise Server 12，SUSE Linux Enterprise Server 15的libzypp中存在不正确的默认权限漏洞', '漏洞类型': 'CWE-276', '披露时间': '2020-01-25', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-3687', '漏洞名称': 'SUSE Linux Enterprise Server 授权问题漏洞', '漏洞类型': 'CWE-276', '披露时间': '2020-01-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2016-4761', '漏洞名称': 'Ubuntu Linux:未指明漏洞', '漏洞类型': 'CWE-416', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16268', '漏洞名称': 'linux tizen 特权管理不恰当', '漏洞类型': 'CWE-269', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16267', '漏洞名称': 'linux tizen 特权管理不恰当', '漏洞类型': 'CWE-269', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16266', '漏洞名称': 'linux tizen 特权管理不恰当', '漏洞类型': 'CWE-269', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16265', '漏洞名称': 'linux tizen 特权管理不恰当', '漏洞类型': 'CWE-269', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16264', '漏洞名称': 'linux tizen 信息暴露', '漏洞类型': 'CWE-200', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16263', '漏洞名称': 'linux tizen 特权管理不恰当', '漏洞类型': 'CWE-269', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2018-16262', '漏洞名称': 'linux tizen 特权管理不恰当', '漏洞类型': 'CWE-269', '披露时间': '2020-01-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19339', '漏洞名称': 'Linux kernel内存破坏漏洞', '漏洞类型': '未定义', '披露时间': '2020-01-18', '漏洞状态': 'CVE'}
{'id': 'AVD-2007-4774', '漏洞名称': '2.4.36-rc1之前的Linux内核具有竞争条件。通过用SIGCONT信号淹没ptraced进程，可以绕过systrace策略，这可以唤醒PTRACED进程。', '漏洞类型': 'CWE-362', '披露时间': '2020-01-16', '漏洞状态': 'CVE'}
{'id': 'AVD-2020-0636', '漏洞名称': '适用于 Linux 的 Windows 子系统特权提升漏洞', '漏洞类型': 'CWE-269', '披露时间': '2020-01-14', '漏洞状态': 'CVE'}
{'id': 'AVD-2011-5250', '漏洞名称': 'Snare for Linux 跨站请求伪造漏洞', '漏洞类型': 'CWE-352', '披露时间': '2020-01-09', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19927', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-125', '披露时间': '2019-12-31', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20095', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-401', '披露时间': '2019-12-30', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20054', '漏洞名称': '在5.0.6之前的Linux内核中，drop_sysctl_table()中有一个空指针解引用。', '漏洞类型': 'CWE-476', '披露时间': '2019-12-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-20051', '漏洞名称': 'UPX 3.95中p_lx_elf.cpp中的PackLinuxElf::elf_hash中发现了一个浮点异常。', '漏洞类型': 'CWE-682', '披露时间': '2019-12-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2011-1474', '漏洞名称': 'pax-linux内存破坏漏洞', '漏洞类型': 'CWE-400', '披露时间': '2019-12-27', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19947', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-908', '披露时间': '2019-12-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-5108', '漏洞名称': 'Linux Kernel up to 5.2 IAPP Location Update 拒绝服务漏洞', '漏洞类型': 'CWE-20', '披露时间': '2019-12-24', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19922', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-400', '披露时间': '2019-12-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19813', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-0159', '漏洞名称': '在版本24.3之前的Linux管理工具中，用于英特尔（R）网络适配器的内存保护不足，可能会使经过身份验证的用户潜在地导致权限提升', '漏洞类型': '未定义', '披露时间': '2019-12-17', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19769', '漏洞名称': '在Linux内核5.3.10中，perf_trace_lock_acquire函数(与include/trace/events/lock.h相关)中有一个UAF(Read)。', '漏洞类型': 'CWE-416', '披露时间': '2019-12-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19768', '漏洞名称': 'Linux Kernel 5.4.0-rc2 kernel/trace/blktrace.c __blk_add_trace 内存错误引用漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19767', '漏洞名称': 'Linux Kernel 至 5.4.1 fs/ext4/inode.c __ext4_expand_extra_isize/ext4_xattr_set_entry 内存错误引用漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-13', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19448', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19449', '漏洞名称': 'Linux kernel 缓冲区错误漏洞', '漏洞类型': 'CWE-125', '披露时间': '2019-12-08', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-17387', '漏洞名称': '攻击者通过在Windows，Linux和macOS上执行任意代码来获得更高的特权', '漏洞类型': '未定义', '披露时间': '2019-12-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19602', '漏洞名称': 'Linux kernel 安全漏洞', '漏洞类型': 'CWE-119', '披露时间': '2019-12-06', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19543', '漏洞名称': 'Linux kernel serial_ir_init_module', '漏洞类型': 'CWE-416', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19536', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19534', '漏洞名称': 'Linux kernel drivers/net/can/usb/peak_usb/pcan_usb_core.c driver信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19530', '漏洞名称': 'Linux kernel drivers/usb/class/cdc-acm.c释放后重利用漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19529', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19528', '漏洞名称': 'Linux kernel drivers/usb/misc/iowarrior.c 释放后重利用漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19525', '漏洞名称': 'Linux kernel drivers/net/ieee802154/atusb.c释放后重利用漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-12-04', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19318', '漏洞名称': 'Linux kernel 资源管理错误漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-11-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19319', '漏洞名称': 'Linux Kernel 5.0.21 ext4 Image fs/ext4/xattr.c ext4_xattr_set_entry 越界读取漏洞', '漏洞类型': 'CWE-416', '披露时间': '2019-11-28', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19252', '漏洞名称': '在 Linux kernel through 5.3.13中的drivers/tty/vt/vc_screen.c中vcs_write i不阻止对vcsu设备的写访问', '漏洞类型': 'CWE-125', '披露时间': '2019-11-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-18675', '漏洞名称': '到5.3.13为止的Linux内核具有start_offset+size整数溢出', '漏洞类型': 'CWE-190', '披露时间': '2019-11-26', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-18910', '漏洞名称': 'HP ThinPro Linux 任意命令执行漏洞 ', '漏洞类型': 'CWE-20', '披露时间': '2019-11-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-16287', '漏洞名称': 'HP ThinPro Linux 安全漏洞', '漏洞类型': '未定义', '披露时间': '2019-11-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-16286', '漏洞名称': 'HP ThinPro Linux 安全漏洞', '漏洞类型': 'CWE-287', '披露时间': '2019-11-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19227', '漏洞名称': '在5.1之前的Linux内核中的AppleTalk子系统中，存在潜在的NULL指针取消引用', '漏洞类型': 'CWE-476', '披露时间': '2019-11-23', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19037', '漏洞名称': 'Linux Kernel 至 5.3.12 fs/ext4/namei.c ext4_empty_dir null 指针取消引用漏洞', '漏洞类型': 'CWE-476', '披露时间': '2019-11-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19039', '漏洞名称': 'Linux kernel 信息泄露漏洞', '漏洞类型': 'CWE-200', '披露时间': '2019-11-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19036', '漏洞名称': 'Linux Kernel up to 5.3.12 fs/btrfs/ctree.c btrfs_root_node 拒绝服务漏洞', '漏洞类型': 'CWE-476', '披露时间': '2019-11-21', '漏洞状态': 'CVE'}
{'id': 'AVD-2019-19074', '漏洞名称': 'Linux kernel ath9k_wmi_cmd()拒绝服务安全漏洞 ', '漏洞类型': 'CWE-401', '披露时间': '2019-11-18', '漏洞状态': 'CVE'}
